lamp_id,lat,lon
5907,50.07404343940157,19.899135469459004
5908,50.07505283463958,19.891393063589923
5909,50.07305532610415,19.898210107348856
5910,50.073520120609594,19.88871776964516
5911,50.073279762161626,19.89167737774551
5912,50.07320401779946,19.892042158171524
5913,50.07312483038383,19.89243912510573
5914,50.07260150156654,19.895561216399074
5915,50.07294924043048,19.893560288473967
5916,50.07308351515851,19.892755625769485
5917,50.072429352680906,19.897116897627715
5918,50.07242935268095,19.897546051070083
5919,50.07245345356213,19.89802884869277
5920,50.07244656759729,19.898549197241667
5921,50.0731420450505,19.902019975706924
5922,50.073145487983076,19.904149649664763
5923,50.07316614557351,19.904428599402316
5924,50.0727884975933,19.904290675185617
5925,50.0758790984469,19.899251936003573
5926,50.0783301563848,19.89620861364528
5927,50.078072071254645,19.896553633734587
5928,50.07766928785037,19.89703106693924
5929,50.0781615782183,19.898661850020297
5930,50.077862073491715,19.89860284142195
5931,50.07754535381446,19.8985384684056
5932,50.07722518940551,19.898474095389247
5933,50.075373013554625,19.8967360239476
5934,50.07509070537542,19.896693108603362
5935,50.07473953922309,19.89660727791488
5936,50.07432639928061,19.896516082808372
5937,50.07395801316317,19.896387336775657
5938,50.07369979690771,19.896172760054473
5939,50.0776451895907,19.90001904778182
5940,50.07786207349171,19.900169251486663
5941,50.079625724897134,19.89997231867164
5942,50.07865730606824,19.899793742224574
5943,50.07856715455324,19.90197056438774
5944,50.08222869730163,19.90575995994731
5945,50.07971178649934,19.9006509175524
5946,50.079441552549355,19.899924038909376
5947,50.07834747676268,19.901134846732013
5948,50.07821601386204,19.90730279590934
5949,50.076316323950806,19.90637051872909
5950,50.080968483446064,19.89837979897857
5951,50.080795073705424,19.89833462052047
5952,50.08055754867541,19.898291705176227
5953,50.08017888315052,19.898232696577907
5954,50.07930729562567,19.897555648349226
5955,50.07952933571926,19.897606610320512
5956,50.08032970426631,19.897772907279435
5957,50.0805345276181,19.897813140414645
5958,50.08079614945015,19.897874831221994
5959,50.081698045347345,19.896040200255804
5960,50.08132283117646,19.890568493865437
5961,50.081171367743345,19.890506803058088
5962,50.08135897578863,19.890437065623697
5963,50.081200627762065,19.890356599353247
5964,50.08284088142365,19.890825985930853
5965,50.083102490669006,19.89084207918496
5966,50.0813865145225,19.89031368400902
5967,50.08206637199803,19.885067283175893
5968,50.08145191895197,19.888562201522284
5969,50.081515602126515,19.888272522948675
5970,50.05961532962593,19.922703474294387
5971,50.05955936615603,19.923046797048293
5972,50.05949909773081,19.92342632962391
5973,50.069210054686565,19.912062166258693
5974,50.06011910553817,19.898136137053374
5975,50.072442479055226,19.93091964628547
5976,50.07258708412107,19.93123346474022
5977,50.071218482995896,19.932732819579538
5978,50.070967138166644,19.932966171763844
5979,50.07078293255803,19.933137833140787
5980,50.070533307005995,19.933395325206217
5981,50.067453337247194,19.933711825869974
5982,50.06724157129904,19.932174920104437
5983,50.06710211516403,19.93106716778129
5984,50.06705562969558,19.930766760371625
5985,50.067012587555034,19.930436848662804
5986,50.06692133808925,19.929766296409078
5987,50.066971267063714,19.93011766579003
5988,50.06730527334926,19.932569204829637
5989,50.067348315227186,19.93294739630074
5990,50.06739996542967,19.93331217672676
5991,50.06687140906278,19.929361282847825
5992,50.069313351026096,19.92882060818373
5993,50.069471738314654,19.928654311224808
5994,50.06965078418489,19.928434370085597
5995,50.06984015889714,19.928214428946383
5996,50.07003297601768,19.92799985222518
5997,50.070198247218265,19.92777454666793
5998,50.06343823341987,19.929165481589724
5999,50.073275673690596,19.929870902560644
6000,50.07388302300224,19.924488484393805
6001,50.073656115187,19.924426018260412
6002,50.07347019845271,19.924375056289136
